Sección;Descripción;Precio_EUR
Platos preparados;AL PUNTO Ensaladilla rusa bandeja 250 gr;2.49
Platos preparados;AL PUNTO Pincho de tortilla de patatas con cebolla ración 250 gr;1.5
Platos preparados;AL PUNTO Patatas asadas bandeja 250 gr;0.75
Platos preparados;AL PUNTO Albóndigas con pisto bandeja 250 gr;3.49
Platos preparados;AL PUNTO Guisantes con bacon bandeja 250 gr;1.99
Platos preparados;AL PUNTO Macarrones a la boloñesa bandeja 250 gr;1.99
Platos preparados;AL PUNTO Pollo con queso y bacon bandeja 1 ud;3.49
Platos preparados;CASA TARRADELLAS pizza 4 quesos envase 390 gr;2.75
Platos preparados;CASA TARRADELLAS pizza carbonara envase 400 gr;2.75
Platos preparados;DIA pizza 4 quesos envase 400 gr;2.05
Platos preparados;CAMPOFRÍO pizza barbacoa envase 410 gr;2.35
Platos preparados;AL PUNTO gazpacho pack 3 unidades de 330 ml;1.75
Platos preparados;LA BROCHE Fun roll de pollo y queso 2 unidades bandeja 275 gr;1.75
Platos preparados;LA CARLOTEÑA redondo de pollo asado envase 340 gr;3.05
Platos preparados;Pimiento asado en tiras bicolor bandeja 350 gr;2.35
Platos preparados;LA BROCHE Fun roll de bacon y queso bandeja 275 gr;1.75
Platos preparados;CASA TARRADELLAS pizza de pollo envase 410 gr;2.75
Platos preparados;LA CARLOTEÑA redondo de pollo asado relleno de jamón y queso envase 340 gr;2.95
Platos preparados;PIERRE MARTINET tabule oriental tarrina 200 gr;1.75
Platos preparados;CASA MAS canelones caseros de carne frescos envase 700 gr ;5.59
Platos preparados;CASA MAS pastel frio de atún bandeja 260 gr;2.89
Platos preparados;LA CARLOTEÑA pollo asado relleno en lonchas (peso aprox. 100 gr);10.99
Platos preparados;Crema de calabaza tarrina 500 ml ;2.05
Platos preparados;Crema de verduras tarrina 500 ml ;2.05
Platos preparados;VALDETERRA migas con chorizo envase 275 gr;1.69
Platos preparados;CAMPOFRÍO pizza jamón y queso con salsa cheddar envase 360 gr;2.35
Platos preparados;AL PUNTO mini tortilla de patatas con cebolla envase 220 gr;1.05
Platos preparados;LA CARLOTEÑA redondo de pollo asado relleno de bacon envase 250 gr;2.05
Platos preparados;TA TUNG rollitos de primavera bandeja 280 gr ;2.55
Platos preparados;PALACIOS hamburguesa con queso pack 2 unidades 125 gr ;2.15
Platos preparados;PIERRE MARTINET hummus clásico tarrina 200 gr ;1.75
Platos preparados;LA BROCHE Fun roll carne barbacoa con bacon bandeja 260 gr;1.75
Platos preparados;AL PUNTO salmorejo envase 1 lt;1.65
Platos preparados;CASA TARRADELLAS pizza jamón y queso envase 405 gr ;2.75
Platos preparados;CASA TARRADELLAS pizza atún y bacon envase 405 gr ;2.75
Platos preparados;CASA TARRADELLAS pizza jamón serrano envase 390 gr;2.75
Platos preparados;DIA pizza jamón y queso envase 400 gr;2.09
Platos preparados;DIA pizza atún y bacon envase 400 gr;2.05
Platos preparados;AL PUNTO gazpacho envase 1 lt;1.45
Platos preparados;CASA TARRADELLAS pizza jamón y queso pack 2 envases 225 gr;2.75
Platos preparados;PALACIOS tortilla de patatas con cebolla envase 650 gr ;3.69
Platos preparados;TA TUNG fideos yakisoba con pollo bandeja 300 gr;3.25
Platos preparados;DIQUESI hamburguesas veganas de calabacín y quinoa bandeja 200 gr;2.65
Platos preparados;GIRALDO bacalao al pil pil bandeja 300 gr;4.09
Platos preparados;CAMPOFRÍO Vegalia pizza vegetariana envase 360 gr;2.59
Platos preparados;AL PUNTO tortilla de patatas fresca sin cebolla envase 600 gr;1.85
Platos preparados;AL PUNTO tortilla de patatas fresca con cebolla envase 600 gr;1.85
Platos preparados;AL PUNTO pechuga de pollo asada con patatas bandeja 300 gr;2.89
Platos preparados;AL PUNTO pollo asado entero bandeja 900 gr;5.19
Platos preparados;AL PUNTO pizza barbacoa envase 420 gr;2.69
Platos preparados;AL PUNTO croquetas de jamón bandeja 8 uds 280 gr;3.09
Platos preparados;AL PUNTO croquetas de pollo bandeja 8 uds 280 gr;3.09
Platos preparados;AL PUNTO tallarines a la carbonara bandeja 250 gr;2.05
Platos preparados;AL PUNTO macarrones con chorizo bandeja 250 gr;2.05
Platos preparados;AL PUNTO paella mixta bandeja 320 gr;3.15
Platos preparados;AL PUNTO arroz tres delicias bandeja 320 gr;2.49
Platos preparados;AL PUNTO gyozas de pollo y verduras al teppanyaki bandeja 8 uds 150 gr;2.39
Platos preparados;AL PUNTO tortilla de patatas fresca con chorizo envase 600 gr;2.85
Platos preparados;AL PUNTO lasaña boloñesa gratinada bandeja 350 gr;2.39
Platos preparados;AL PUNTO lentejas estofadas bandeja 250 gr;2.49
Platos preparados;AL PUNTO Pincho de tortilla con chorizo ración 250 gr;1.75
Platos preparados;AL PUNTO Croquetas de jamón ibérico unidad 40 gr;0.49
Platos preparados;AL PUNTO Croquetas de pollo unidad 40 gr;0.49
Platos preparados;AL PUNTO judía verde con patata y zanahoria bolsa 250 gr;1.99
Platos preparados;AL PUNTO brócoli y patatas bolsa 250 gr;1.99
Platos preparados;AL PUNTO hamburguesa con bacon envase 220 gr;2.49
Platos preparados;AL PUNTO hamburguesa con queso envase 220 gr;2.49
Productos Frescos;Filetes de contramuslo de pollo bandeja (peso aprox. 600 gr);3.75
Productos Frescos;Banana unidad (230 gr aprox.);0.26
Productos Frescos;Aguacate unidad (300 gr aprox.);1.38
Productos Frescos;Berenjena unidad (540 gr aprox.);0.91
Productos Frescos;Repollo rizado unidad (2 Kg aprox);1.98
Productos Frescos;Manzana granny unidad (260 gr aprox.);0.46
Productos Frescos;Pimiento verde unidad (405 gr aprox.);0.97
Productos Frescos;Piña unidad (2.2 Kg aprox.);2.75
Productos Frescos;Uva roja racimo (1.1 Kg aprox.);3.36
Productos Frescos;Pomelo unidad (470 gr aprox.);0.87
Productos Frescos;Mango unidad (700 gr aprox.);1.74
Productos Frescos;Sopa juliana deshidratada bandeja 100 gr;1.99
Productos Frescos;Repollo liso unidad (2.2 Kg aprox.);2.18
Productos Frescos;Lombarda unidad (3 Kg aprox.);2.97
Productos Frescos;Filetes de pechuga de pollo corte fino bandeja (peso aprox. 700 gr);6.08
Productos Frescos;Setas cultivadas bandeja 400 gr;2.59
Productos Frescos;Plátano para freír unidad (360 gr aprox.);0.74
Productos Frescos;SERRANO pechuga de pavo adobada bandeja 240 gr ;2.0
Productos Frescos;SERRANO fiambre de lomo de pavo sobre 240 gr;1.85
Productos Frescos;Cebolla morada malla 500 gr;1.15
Productos Frescos;Corazones de lechuga romana bandeja 2 uds;1.55
Productos Frescos;DIA MARI MARINERA palitos de surimi paquete 300 gr ;1.79
Productos Frescos;Pera conferencia cesta 1 Kg;1.55
Productos Frescos;Calabaza (2 Kg aprox.);2.78
Productos Frescos;AGUINAMAR mejillones cocidos envasado al vació 1 Kg;3.99
Productos Frescos;ROLER carpaccio ternera bandeja 110 g;2.99
Productos Frescos;DIA canónigos bolsa 100 gr;0.99
Productos Frescos;SERRANO hamburguesas de pavo y pollo bandeja 320 gr;2.09
Productos Frescos;LA GULA DEL NORTE bandeja 220 gr;5.99
Productos Frescos;SERRANO preparado de carne picada de pavo y pollo bandeja 300 gr ;2.39
Productos Frescos;Cinta de lomo adobada (peso aprox. 900 gr);5.84
Productos Frescos;Pimientos tres colores bolsa 500 gr;1.99
Productos Frescos;DIA ensalada 4 estaciones bolsa 250 gr;0.55
Productos Frescos;DIA ensalada gourmet bolsa 175 gr;1.05
Productos Frescos;DIA espinacas bolsa 300 gr;0.99
Productos Frescos;DIA ensalada variada bolsa 200 gr;1.09
Productos Frescos;AGUINAMAR salpicón de marisco bandeja 225 gr;4.19
Productos Frescos;Chorizo gallego malla 500 gr;3.99
Productos Frescos;DIA lechuga iceberg bolsa 200 gr;0.89
Productos Frescos;DIA ensalada de brotes tiernos 70 gr;0.85
Productos Frescos;Morcilla de burgos pieza 320 gr ;1.45
Productos Frescos;FINISTER filetes de anchoa en aceite de girasol pack 3 latas de 29 gr;2.09
Productos Frescos;CONSORCIO filetes de anchoa en aceite de oliva lata 29 gr;1.99
Productos Frescos;AGUINAMAR pintxo a la donostiarra envase 200 gr;2.99
Productos Frescos;Frambuesas tarrina 125 gr ;1.65
Productos Frescos;Tira de costilla de cerdo envasada al vacío (peso aprox. 1.25 Kg);7.11
Productos Frescos;SERRANO fiambre de pechuga de pavo en lonchas bandeja 380 gr ;2.95
Productos Frescos;Patata especial microondas bolsa 400 gr;1.19
Productos Frescos;CLAROS boquerones en vinagre envase 110g;3.29
Productos Frescos;Cuartos traseros de pollo selección (peso aprox. 1.3 Kg);5.85
Productos Frescos;Secreto de cerdo (peso aprox. 1 Kg);6.29
Productos Frescos;Chuletas de pavo al ajillo bandeja (peso aprox. 720 gr) ;4.1
Productos Frescos;Higados de pollo bandeja 450 gr ;1.49
Productos Frescos;VALLINA compango asturiano bandeja 250 gr;2.35
Productos Frescos;Lomo extra adobado bandeja 300 gr;2.59
Productos Frescos;Escalopín de jamón bandeja 400 gr;2.89
Productos Frescos;Espárrago verde 250 gr;1.79
Productos Frescos;Chuleta de sajonia bandeja 400 gr;3.69
Productos Frescos;Fiambre de lomo adobado bandeja 400 gr ;2.99
Productos Frescos;Ensalada mixta bandeja 400 gr ;1.79
Productos Frescos;Mango bandeja 2ud;1.79
Productos Frescos;Filete de cinta de lomo tierna bandeja 300 gr;1.99
Productos Frescos;Chuleta de lomo bandeja 600 gr;2.99
Productos Frescos;Tomate cherry pera bandeja 250 gr;0.99
Productos Frescos;Tomate cherry redondo línea sabor bandeja 250 gr;0.99
Productos Frescos;Tomate cherry kumato bandeja 250 gr;1.19
Productos Frescos;FLORETTE ensalada mixta bolsa 150 gr;1.45
Productos Frescos;Lomo de cerdo extra al ajillo bandeja 300 gr ;2.49
Productos Frescos;NOEL hamburguesas con ajo y perejil bandeja 360 gr;1.99
Productos Frescos;Surtido vegetal bandeja (1.2 Kg aprox.);1.62
Productos Frescos;AGROPIGEN tomate ensalada bio bandeja (1.2 Kg aprox.);3.59
Productos Frescos;Zanahoria bio bandeja 600 gr;1.55
Productos Frescos;Plátano bio bandeja (1.1 Kg aprox.);2.85
Productos Frescos;Escalopines de ternera (peso aprox. 520 gr);4.62
Productos Frescos;Ajo morado malla 400 gr;2.05
Productos Frescos;Pollo para asar bandeja 2 uds 2 Kg;5.99
Productos Frescos;ROYAL salmón ahumado envase 80 gr;4.39
Productos Frescos;FLORETTE ensalada cesar con pollo y queso tarrina 200 gr;2.79
Productos Frescos;Mix de setas bandeja 150 g;2.19
Productos Frescos;ROYAL huevas de islandia de lumpus y capelan tarro 50 gr;1.99
Productos Frescos;ROLER estofado de vacuno bandeja 500 gr;3.95
Productos Frescos;Panceta adobada bandeja 400 gr;3.09
Productos Frescos;Filete 1ºA de ternera (peso aprox. 460 gr);4.69
Productos Frescos;Anchodinas envase 50 gr;1.59
Productos Frescos;Boniato unidad (500 gr aprox.);1.19
Productos Frescos;Tomate kumato unidad (240 gr aprox.);0.59
Productos Frescos;Manzana fuji unidad (250 gr aprox.);0.46
Productos Frescos;Fresón bandeja 1 Kg;2.09
Productos Frescos;Calabacín redondo unidad (400 gr aprox.);0.84
Productos Frescos;Uva blanca sin semilla bandeja 500 gr ;2.45
Productos Frescos;Manzana golden bolsa 1.5 Kg;1.85
Productos Frescos;SERRANO lomo de pavo bandeja 450 gr;2.95
Productos Frescos;Endivias bandeja 350 gr;0.99
Productos Frescos;DIA ensalada selección 5 brotes bolsa 100 gr;1.09
Productos Frescos;SANDELI san jacobo de pollo y pavo 340g;1.49
Productos Frescos;Filetes de pechuga de pollo a las finas hierbas bandeja 375 gr;2.59
Productos Frescos;Serrano hamburguesas de pavo y pollo con queso bandeja 300 gr ;2.69
Productos Frescos;SERRANO pechuga de pavo a las finas hierbas sobre 240 gr;2.0
Productos Frescos;ROLER escalopín de pavo adobado bandeja (peso aprox. 600 gr);3.89
Productos Frescos;Arreglo para puchero (peso aprox. 1.2 Kg);4.79
Productos Frescos;Acelgas manojo (1.2 Kg aprox.);1.98
Productos Frescos;Medio conejo troceado bandeja (800 gr aprox.);5.19
Productos Frescos;DIA DELICIOUS filetes de anchoa en aceite de oliva lata 55 gr;3.39
Productos Frescos;Papaya de primera unidad (2 Kg aprox.);6.1
Productos Frescos;FLORETTE pasta + rúcula 320 gr ;2.95
Productos Frescos;Filetes de pollo empanados bandeja 400 gr ;2.59
Productos Frescos;ROLER cintas de pollo marinadas bandeja 350 gr;3.29
Productos Frescos;NAVIDUL lacón ahumado natural sobre 150 gr ;2.0
Productos Frescos;Filete de pez espada unidad (peso aprox. 180 gr);2.99
Productos Frescos;Filete de bacalao con piel, limpio y sin espinas unidad (peso aprox. 500 gr);5.75
Productos Frescos;Sepia mediana limpia y entera unidad (peso aprox. 850 gr);8.49
Productos Frescos;Almeja de cultivo (peso aprox. 250 gr);2.95
Productos Frescos;Gallo mediano limpio y entero unidad (peso aprox. 600 gr);5.39
Productos Frescos;TREVIJANO alga wakame 100% natural bandeja 50 gr ;2.15
Productos Frescos;Mandarina malla 1.5 Kg;2.99
Productos Frescos;SERRANO fiambre de magro envase 240 gr ;1.75
Productos Frescos;Alitas de pollo adobadas sabor asado bandeja 450 gr;1.99
Productos Frescos;Filete de cinta de lomo de cerdo bandeja 400 gr;2.79
Productos Frescos;Entrecot de vacuno (peso aprox. 550 gr);8.77
Productos Frescos;HEMOSA preparado para cocido 450 gr;2.49
Productos Frescos;Lubina de cultivo limpia y entera unidad (peso aprox. 750 gr);4.87
Productos Frescos;Dorada de cultivo limpia y entera unidad (peso aprox. 750 gr);5.99
Productos Frescos;Anillas de potón (peso aprox. 250 gr);1.5
Productos Frescos;Merluza de pincho limpia en filetes (peso aprox. 2.1 Kg);18.88
Productos Frescos;Gallo limpio en filetes (peso aprox. 1.2 Kg);14.39
Productos Frescos;Salmón rodaja unidad (peso aprox. 400 gr);5.2
Productos Frescos;Gambón crudo bolsa (peso aprox. 500 gr);5.5
Productos Frescos;Langostino cocido bolsa (peso aprox. 500 gr);3.5
Productos Frescos;Calabaza dados al vacío 400 gr ;1.39
Productos Frescos;Yuca (1.1 Kg aprox.);2.48
Productos Frescos;Calabacín bio bandeja 600 gr;1.99
Productos Frescos;Champiñones bandeja 250 gr;1.45
Productos Frescos;TORRES naranja bolsa 2 Kg ;2.99
Productos Frescos;Perejil manojo 50 gr ;0.99
Productos Frescos;MRM lacón en tapas 200 gr ;3.09
Productos Frescos;FLORETTE espinacas bolsa 125 gr ;1.69
Productos Frescos;ROLER hamburguesa americana de vacuno XXL bandeja 400 gr ;3.99
Productos Frescos;TORRES mandarina malla 1 Kg;2.99
Productos Frescos;TABUENCA zanahorias bolsa 500 gr ;0.55
Productos Frescos;Albóndigas mixtas de cerdo y vacuno bandeja 420 gr;2.49
Productos Frescos;Setas bandeja 200 gr;1.29
Productos Frescos;Hamburguesas de vacuno bandeja 2 uds 250 gr;2.6
Productos Frescos;Jengibre unidad (140 gr aprox.);0.92
Productos Frescos;Aguacate bandeja 3/4 piezas;2.25
Productos Frescos;CALATAYUD nuggets de pollo bandeja 300 gr;2.29
Productos Frescos;Mejillón 40/50 piezas malla (peso aprox. 1 Kg);1.99
Productos Frescos;Zanahoria baby bolsa 125 gr;1.09
Productos Frescos;FLORETTE ensalada antiox bolsa 100 gr ;1.59
Productos Frescos;AGUINAMAR pata de pulpo bandeja 200 gr;7.99
Productos Frescos;CAMPOFRÍO costilla en tira a las finas hierbas (peso aprox. 1.4 Kg);8.25
Productos Frescos;DIQUESI ensalada manhattan con bacon y salsa de mostaza con miel tarrina 215 gr;2.79
Productos Frescos;Limón BIO bolsa 500 gr;1.75
Productos Frescos;Cilantro 20 gr;0.99
Productos Frescos;Hierbabuena 20 gr;0.99
Productos Frescos;DIA acelga bolsa 300 gr ;1.09
Productos Frescos;DIA rúcula bolsa 50 gr ;0.99
Productos Frescos;DIA ensalada mezclum bolsa 150 gr ;0.99
Productos Frescos;Pechugas de pollo villaroy bandeja 400 gr;3.49
Productos Frescos;Pepino holandés pieza 400 gr;0.95
Productos Frescos;Jamoncitos de pollo familiar bandeja (peso aprox. 1.2 Kg);4.73
Productos Frescos;Patata unidad (320 gr aprox.);0.54
Productos Frescos;Patata nueva bolsa 2 kg;2.95
Productos Frescos;Manzana roja bolsa 1,5 Kg;2.09
Productos Frescos;Pollo limpio entero unidad (peso aprox. 2.1 Kg);5.78
Productos Frescos;Patata roja malla 2 kg;2.45
Productos Frescos;Solomillo de cerdo (peso aprox. 780 gr);5.22
Productos Frescos;Judía verde malla 500 gr;1.59
Productos Frescos;Zanahoria bolsa 1 Kg;0.79
Productos Frescos;Cogollos bandeja 3 uds;0.99
Productos Frescos;Lechuga iceberg pieza 1 ud;0.79
Productos Frescos;Naranjas de mesa malla 2 Kg;1.79
Productos Frescos;Plátano de Canarias bolsa (1.2 Kg aprox.);2.46
Productos Frescos;FLORETTE corazón de escarola bolsa 150 gr ;1.39
Productos Frescos;Fresón tarrina 500 gr;0.99
Productos Frescos;Patata lavada malla 3 Kg;3.99
Productos Frescos;Manzana royal gala unidad (280 gr aprox.);0.5
Productos Frescos;Pera blanquilla unidad (200 gr aprox.);0.28
Productos Frescos;Pera conferencia unidad (310 gr aprox.);0.54
Productos Frescos;Pimiento rojo unidad (390 gr aprox.);0.93
Productos Frescos;Kiwi unidad (150 gr aprox.);0.43
Productos Frescos;Limón unidad (280 gr aprox.);0.5
Productos Frescos;Mandarina unidad (180 gr aprox.);0.29
Productos Frescos;Chirimoya unidad (450 gr aprox.);2.71
Productos Frescos;Manzana reineta unidad (280 gr aprox.);0.69
Productos Frescos;Calabacín unidad (420 gr aprox.);0.42
Productos Frescos;Naranja unidad (360 gr aprox.);0.52
Productos Frescos;Manzana golden unidad (260 gr aprox.);0.43
Productos Frescos;Tomate en rama unidad (190 gr aprox.);0.38
Productos Frescos;Tomate ensalada unidad (380 gr aprox.);0.67
Productos Frescos;Tomate maduro unidad (210 gr aprox.);0.3
Productos Frescos;Pimiento italiano unidad (200 gr aprox.);0.38
Productos Frescos;Apio bolsa 500 gr;0.99
Productos Frescos;LA GULA DEL NORTE al ajillo envase 125 gr;3.49
Productos Frescos;Filetes de pechuga de pollo bandeja (peso aprox. 740 gr);5.48
Productos Frescos;LA GULA DEL NORTE con gambas al ajillo envase 125 gr;3.49
Productos Frescos;Corazones de cogollos 6 uds;1.85
Productos Frescos;Champiñón laminado bandeja 250 gr;1.25
Productos Frescos;Puerro bandeja 450 gr;1.99
Productos Frescos;Patata lavada malla 5 Kg;4.89
Productos Frescos;Ajo morado malla 250 gr;1.49
Productos Frescos;Limones malla 1 Kg;1.75
Productos Frescos;Pechugas enteras de pollo bandeja (peso aprox. 650 gr);4.24
Productos Frescos;Conejo entero bandeja (peso aprox. 1560 gr);9.28
Productos Frescos;Remolacha cocida bolsa 500 gr;0.79
Productos Frescos;ZESPRI kiwi bandeja 500 gr;2.85
Productos Frescos;Cuartos traseros de pollo bandeja (peso aprox. 850 gr);2.68
Productos Frescos;Maíz cocido mazorcas bolsa 400 gr;1.15
Productos Frescos;Cebolla malla 2 Kg;1.89
Productos Frescos;Escarola pieza 1 ud;1.49
Productos Frescos;Brócoli pieza 500 gr;1.39
Productos Frescos;Chorizo pincho (peso aprox. 400 gr);2.84
Productos Frescos;Patata guarnición malla 1 kg;0.99
Productos Frescos;Coliflor pieza 1 ud;2.09
Productos Frescos;Naranja de zumo malla 4 Kg ;3.69
Productos Frescos;Pollo de antaño limpio unidad (peso aprox. 1.9 Kg);7.32
Productos Frescos;Cebolla buti 1 Kg;1.19
Productos Frescos;Pimiento tipo padrón bolsa 200 gr;0.99
Productos Frescos;Ciruela roja unidad (160 gr aprox.);0.49
Productos Frescos;KRISSIA surimi fresco rallado envase 125 g;1.99
Productos Frescos;Melón piel de sapo unidad (3 Kg aprox.);4.95
Productos Frescos;Contramuslos de pollo sin piel (peso aprox. 700 gr);2.52
Productos Frescos;DIA SELECCIÓN MUNDIAL salmón ahumado noruego sobre 200 gr;5.49
Productos Frescos;Tomate cherry en rama cesta 300 gr;1.75
Productos Frescos;Cebolla dulce unidad (380 gr aprox.);0.72
Productos Frescos;Tomate pera unidad (180 gr aprox.);0.28
Productos Frescos;Chorizo criollo (peso aprox. 480 gr);3.12
Productos Frescos;ROYAL salmón ahumado marinado sobre 80 gr;3.59
Productos Frescos;Filetes de pechuga de pollo de antaño bandeja 400 gr;3.35
Productos Frescos;ROLER hamburguesa de vacuno novillo angus 150 gr;1.99
Productos Frescos;Medallones de pavo a las finas hierbas bandeja (peso aprox. 630 gr);5.36
Productos Frescos;ROLER hamburguesas de cerdo y vacuno bandeja 6 uds 540 gr ;3.35
Productos Frescos;ROLER hamburguesas de vacuno bandeja 6 uds 540 gr ;3.59
Productos Frescos;Patatas especial para freir malla 2 Kg;2.55
Productos Frescos;FLORETTE ensalada gourmet con nueces y queso de cabra envase 180 gr;2.89
Productos Frescos;Lomo de vaca madurado (peso aprox. 300 gr);5.7
Productos Frescos;Cebolla tierna manojo 350 gr;1.25
Productos Frescos;Arándanos tarrina 250 gr;3.09
Productos Frescos;DIA MARI MARINERA trucha ahumada envase 100 gr;2.99
Productos Frescos;Aguacate bio bandeja 400 gr;3.09
Productos Frescos;LOREA Gourmet anchoa del Cantábrico envase 125 gr;7.59
Productos Frescos;ELPOZO solomillo de cerdo al romero (peso aprox. 690 gr);6.0
Productos Frescos;Dátil natural en rama bandeja 200 gr;1.45
Productos Frescos;Dátil medjoul bandeja 220 gr;3.85
Productos Frescos;Hamburguesas de pollo bandeja 4 uds 320 gr;2.19
Productos Frescos;AGUINAMAR mejillones en su jugo envase 500 gr;3.79
Productos Frescos;AGUINAMAR mejillones en salsa de tomate envase 500 gr;3.79
Productos Frescos;Bimi bandeja 200 gr;1.99
Productos Frescos;FLORETTE ensalada cesar light con pollo y queso tarrina 205 gr;2.85
Productos Frescos;ELPOZO escalopín de lomo de cerdo marinado extratierno bandeja 600 gr;3.99
Productos Frescos;ROLER preparado de carne picada de vacuno bandeja 500 gr;2.49
Productos Frescos;ROLER preparado de carne picada de cerdo y vacuno bandeja 500 gr;3.39
Productos Frescos;ROLER preparado de carne picada de vacuno bandeja 1 Kg;5.39
Productos Frescos;ROLER preparado de carne picada de cerdo y vacuno bandeja 1 Kg;5.39
Productos Frescos;ART MORHUA bacalao desmigado salado skrei bandeja 250 gr;4.99
Productos Frescos;Chuleta de aguja de cerdo bandeja (peso aprox. 700 gr);2.63
Productos Frescos;FLORETTE ensalada tierna bolsa 85 gr;1.75
Productos Frescos;VIBS tomate rallado natural tarrina 250 gr;1.19
Productos Frescos;Manzana envy unidad (250 gr aprox.);0.65
Productos Frescos;Pera rocha unidad (200 gr aprox.);0.36
